task_id,filename,source_part,original_relative,annotated_relative,assignee,status
DSCN3042_8da1dca3,DSCN3042.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN3042.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN3042.JPG,,pending
DSCN3048_06a13440,DSCN3048.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN3048.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN3048.JPG,,pending
DSCN3051_6de14048,DSCN3051.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN3051.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN3051.JPG,,pending
DSCN3052_0e442b3b,DSCN3052.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN3052.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN3052.JPG,,pending
DSCN3053_223d6999,DSCN3053.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN3053.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN3053.JPG,,pending
DSCN3056_1d89762f,DSCN3056.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN3056.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN3056.JPG,,pending
DSCN3057_2f06405f,DSCN3057.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN3057.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN3057.JPG,,pending
DSCN3066_0577f247,DSCN3066.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN3066.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN3066.JPG,,pending
DSCN4695_eb64afe0,DSCN4695.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN4695.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4695.JPG,,pending
DSCN4708_0b39022f,DSCN4708.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN4708.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4708.JPG,,pending
DSCN4714_7fd0bf27,DSCN4714.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN4714.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4714.JPG,,pending
DSCN4715_8c4cc035,DSCN4715.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN4715.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4715.JPG,,pending
DSCN4717_87ce827a,DSCN4717.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN4717.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4717.JPG,,pending
DSCN4718_f13c3f74,DSCN4718.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN4718.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4718.JPG,,pending
DSCN4719_e08c25c5,DSCN4719.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN4719.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4719.JPG,,pending
DSCN4720_44869a99,DSCN4720.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN4720.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4720.JPG,,pending
DSCN4721_f60e3125,DSCN4721.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN4721.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4721.JPG,,pending
DSCN4727_02077272,DSCN4727.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN4727.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4727.JPG,,pending
DSCN4728_42b140ce,DSCN4728.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN4728.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4728.JPG,,pending
DSCN4730_437a47cb,DSCN4730.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN4730.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4730.JPG,,pending
DSCN4731_aaf0d292,DSCN4731.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN4731.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4731.JPG,,pending
DSCN4732_7e4aebc7,DSCN4732.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN4732.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4732.JPG,,pending
DSCN4733_be17e8fd,DSCN4733.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN4733.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4733.JPG,,pending
DSCN4734_a7197f7c,DSCN4734.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN4734.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4734.JPG,,pending
DSCN4735_7cc6cc6e,DSCN4735.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN4735.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4735.JPG,,pending
DSCN4754_f8bbd20d,DSCN4754.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN4754.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4754.JPG,,pending
DSCN4755_adaea98b,DSCN4755.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN4755.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4755.JPG,,pending
DSCN5032_d16e2124,DSCN5032.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN5032.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN5032.JPG,,pending
DSCN5180_056ed492,DSCN5180.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN5180.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN5180.JPG,,pending
DSCN5183_f53a3398,DSCN5183.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN5183.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN5183.JPG,,pending
DSCN5185_b88c40a1,DSCN5185.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN5185.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN5185.JPG,,pending
DSCN5186_6b4d6b78,DSCN5186.JPG,part_1,Фото руд по сортам. ч1\Оталькованные руды\DSCN5186.JPG,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN5186.JPG,,pending
